Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Алексюк,Ліза,Василівна,Жіноча,18-05-1988,Педагог,селище Українськ,"сквер Картамишевський, буд. 754, Могилів-Подільський, 86675",916-07-55,hordii29@example.com
Корсун,Вадим,Богданович,Чоловіча,17-05-2002,Провізор,село Єнакієве,"набережна Олександра Кутузакія, буд. 00, Енергодар, 43380",+380 (60) 439-50-18,erikababarychenko@example.com
Дрозд,Максим,Петрович,Чоловіча,12-10-1981,Акушер,хутір Южне,"сквер Лугова, буд. 86 кв. 89, Богодухів, 39058",+380 (28) 466-25-03,iakiv97@example.org
Ященко,Юстим,Петрович,Чоловіча,24-10-1963,Будник,село Хорол,"проспект Каретний, буд. 973 кв. 036, Прип'ять, 40534",754-97-60,dmytroiushchenko@example.net
Стець,Святослава,Сергіївна,Жіноча,20-11-1971,Паралегал,селище Сквира,"парк Красний, буд. 08, Переяслав, 66985",060 685-54-40,vasylholoborodko@example.net
Цюпа,Ольга,Назарівна,Жіноча,04-07-1976,Вчитель,місто Волочиськ,"провулок 8-ма Лінія Дачі Ковалевського, буд. 76 кв. 4, Чоп, 30428",046 88 66,wbaklan@example.net
Їжакевич,Світлана,Рустамівна,Жіноча,18-10-1998,Хореограф,хутір Ясинувата,"узвіз Путьова, буд. 966, Семенівка, 88901",000-38-04,adaasaula@example.com
Годунок,Ірена,Валентинівна,Жіноча,28-01-1955,Лікар,місто Маріуполь,"вулиця Косовський, буд. 6, Сіверськодонецьк, 67802",+380 42 999-69-84,karmaliukodarka@example.org
Ярема,Володимир,Віталійович,Чоловіча,01-10-1986,Штукатур,село Дубровиця,"сквер Чубаївський, буд. 663 кв. 88, Рівне, 06278",+380 18 344 21 46,taras86@example.net
Макаренко,Аарон,Віталійович,Чоловіча,31-07-1962,Географ,село Погребище,"набережна Цебриківська, буд. 34 кв. 559, Свалява, 06029",+380 (12) 238-12-51,valentyna35@example.net
Смик,Климент,Ярославович,Чоловіча,27-07-1952,Гірник,місто Жданівка,"вулиця 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 478, Борщів, 65192",+380 85 166-70-10,yromanets@example.net
Дурдинець,Аніта,Георгіївна,Жіноча,23-03-1948,Бізнесмен,хутір Острог,"сквер Економічний, буд. 847 кв. 435, Красноперекопськ, 47915",042 326-92-23,zhuraveliarema@example.org
Рябовіл,Ігнат,Аркадійович,Чоловіча,23-03-1962,Ювелір,місто Христинівка,"провулок Лїнія 1-ша, буд. 70, Вінниця, 99192",+380 19 982 21 66,fshylo@example.net
Батюк,Оксенія,Маркелівна,Жіноча,25-02-1971,Графік,село Вільнянськ,"провулок Зої Бутенко, буд. 4, Чуднів, 40084",160-02-06,andrii87@example.org
Затовканюк,Дмитро,Антонович,Чоловіча,15-05-1985,Електромонтажник,місто Самар,"проспект Гвоздичний, буд. 774 кв. 40, Кипуче, 50965",+380 08 680 32 90,dhuzii@example.com
Гаврилів,Петро,Ярославович,Чоловіча,26-11-1983,Круп'є,село Лубни,"площа Пішонівська, буд. 7, Кілія, 84140",805 51 90,teodor28@example.org
Алексюк,Василь,Богданович,Чоловіча,31-07-1965,Музичний редактор,село Дергачі,"набережна Добровольців, буд. 1, Пологи, 68977",+380 99 658-83-74,rostyslavabramchuk@example.org
Нестайко,Мирон,Павлович,Чоловіча,18-08-2006,Редактор,хутір Великі Мости,"вулиця Георгія Липського, буд. 5, Бердянськ, 27883",+380 76 148 73 88,rubetstereza@example.com
Василевич,Мирослав,Аркадійович,Чоловіча,26-10-2008,Патологоанатом,хутір Подільськ,"набережна Соборна, буд. 716 кв. 372, Сарни, 70045",052 956-14-87,shamraieduard@example.org
Даценко,Сергій,Васильович,Чоловіча,25-08-1978,Ювелір,село Іловайськ,"вулиця Пересипська 2-га, буд. 82 кв. 67, Ладижин, 65635",051 740-07-72,bohuslavashvachko@example.com
Твердохліб,Охрім,Матвійович,Чоловіча,21-10-1981,Музикознавець,селище Долинська,"провулок Миргородський, буд. 20, Герца, 13988",+380 67 453-47-01,vdrozd@example.com
Зінчук,Олександр,Захарович,Чоловіча,23-06-1987,Астрофізик,селище Пирятин,"сквер Сталепрокатна, буд. 294, Бахмут, 92067",+380 94 824 47 86,bandurkaalbert@example.net
Засенко,Ростислав,Олексійович,Чоловіча,09-12-1972,Водій,селище Коростишів,"шосе Золотий берег, буд. 0, Лозова, 16510",077 191-77-05,ktsushko@example.com
Сімашкевич,Борислав,Єгорович,Чоловіча,28-07-1992,Кушнір,селище Каховка,"площа Грецька, буд. 7, Тисмениця, 54119",004 623-55-33,pylypbabychenko@example.com
Вергун,Геннадій,Ілліч,Чоловіча,19-10-1957,Кіноактор,місто Зміїв,"парк Заньковецької, буд. 5 кв. 602, Гола Пристань, 49471",+380 43 988 47 53,shtokalomilena@example.org
Пилипенко,Анжела,Романівна,Жіноча,01-11-1952,Різноробочий,селище Шахтарське,"сквер Євгена Крамаренка, буд. 6 кв. 994, Новий Розділ, 55273",189-26-26,korbutmartyn@example.com
Кармалюк,Варвара,Олександрівна,Жіноча,01-06-1949,Астрофізик,місто Хорол,"площа Олександрійський, буд. 0, Василівка, 36232",054 314 60 38,petroadamenko@example.net
Лубенець,Маруся,Євгенівна,Жіноча,06-02-1976,Фермер,хутір Новояворівськ,"провулок Гранатний, буд. 931 кв. 9, Ізяслав, 27496",099 436-74-03,vasylyna82@example.com
Голик,Трохим,Костянтинович,Чоловіча,18-07-1941,Журналіст,місто Вознесенськ,"площа Ананьївська, буд. 157, Отаманівка, 81105",+380 25 543-08-23,iaremabezborodko@example.org
Дрозд,Данна,Ігорівна,Жіноча,20-05-1984,Журналіст,хутір Калуш,"шосе Зелений, буд. 31 кв. 8, Бахчисарай, 91041",079 745-87-38,anastasiia22@example.net
Затула,Олег,Артемович,Чоловіча,05-02-1942,Філолог,селище Рахів,"набережна Басейний 2-й, буд. 69 кв. 09, Вугледар, 83542",+380 26 392-22-71,gpoltavets@example.org
Верхола,Ростислав,Михайлович,Чоловіча,10-05-1968,Фрілансер,селище Вараш,"набережна 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 04, Зугрес, 04527",+380 (15) 523-68-52,mykhailynasalii@example.com
Дубина,Лілія,Євгенівна,Жіноча,02-03-1977,Візажист,селище Довжанськ,"проспект Чернишевського, буд. 600 кв. 985, Маріуполь, 67613",+380 67 979-81-60,pbaran@example.org
Башполченко,Семен,Веніамінович,Чоловіча,12-04-2007,Реабілітолог,селище Токмак,"шосе Михайла Божія, буд. 6, Борзна, 29329",436-18-13,mpylypenko@example.net
Ярош,Максим,Маркелович,Чоловіча,21-06-1947,Каскадер,село Білгород-Дністровський,"площа Шефська, буд. 66, Лубни, 99124",+380 (39) 388-94-94,ddeineka@example.com
Запорожець,Орися,Тимофіївна,Жіноча,23-06-1943,Стропальник,місто Гребінка,"проспект Госпітальний, буд. 5 кв. 71, Сіверськ, 43827",017 514 61 72,ntykha@example.net
Захаренко,Ада,Святославівна,Жіноча,01-01-1950,Вчитель,село Кагарлик,"сквер Студентський 1-й, буд. 2 кв. 4, Гола Пристань, 86245",+380 40 163-17-02,perepelytsiamartyn@example.org
Вобла,Ігор,Федорович,Чоловіча,11-11-2006,Детектив,місто Старокостянтинів,"проспект Бориса Літвака, буд. 16 кв. 54, Берестин, 39047",+380 82 387 40 76,spashavrylenko@example.net
Наливайко,Спас,Олександрович,Чоловіча,25-07-1987,Пекар,село Новий Розділ,"шосе Нафтовиків, буд. 64 кв. 136, Дергачі, 67593",+380 90 931-47-97,haidaburabohdan@example.com
Лесик,Степан,Матвійович,Чоловіча,13-08-1982,Режисер,селище Скадовськ,"узвіз Ольгіївська, буд. 72, Кропивницький, 05498",033 782 78 77,odarkaadamenko@example.com
Устенко,Валентин,Ігоревич,Чоловіча,21-05-1948,Епідеміолог,місто Бахмач,"парк Оранжерейний, буд. 043, Хрестівка, 80638",975 38 72,ikolisnychenko@example.net
Сич,Мирон,Борисович,Чоловіча,05-12-1961,Програміст,хутір Калуш,"набережна Обліпихова, буд. 34, Березань, 24055",+380 53 046-46-12,oleh44@example.com
Царенко,Єфрем,Степанович,Чоловіча,18-05-1969,Модель,селище Запоріжжя,"провулок Олександра Юрженка, буд. 683 кв. 489, Заліщики, 73215",+380 (35) 588-60-29,pylypenkovadym@example.net
Свистун,Одарка,Артемівна,Жіноча,11-03-1965,Будник,село Чорнобиль,"шосе П'ята, буд. 6 кв. 89, Прилуки, 31158",019 756-99-68,opalii@example.org
Власенко,Леонтій,Лук’янович,Чоловіча,03-04-1963,Гірничий інженер,селище Василівка,"набережна Житомирська, буд. 362, Носівка, 42205",+380 63 322 42 46,zsahal@example.org
Гаврилів,Йосип,Дмитрович,Чоловіча,12-12-1947,Краєзнавець,село Волочиськ,"провулок Тінистий, буд. 6 кв. 8, Мукачево, 81768",926 66 31,trokhymumanets@example.net
Масоха,Христина,Володимирівна,Жіноча,30-04-1976,Каскадер,селище Тараща,"провулок Ямчитського, буд. 62, Хутір-Михайлівський, 93659",004 929 42 38,babiiavrelii@example.org
Артеменко,Станіслав,Володимирович,Чоловіча,04-09-1991,Фізик,хутір Заліщики,"шосе Акордна, буд. 83 кв. 958, Вишневе, 16054",000 642 79 32,opalii@example.com
Хмара,Ада,Захарівна,Жіноча,09-10-1996,Редактор,хутір Хрустальний,"шосе Лінія 47-ма, буд. 8, Щастя, 11373",+380 13 023 18 79,aandriishyn@example.com
Мамчур,Юхим,Євгенович,Чоловіча,28-05-1966,М'ясник,село Чугуїв,"парк Чорноморський, буд. 7, Лебедин, 07843",261 91 62,zynoviizabashta@example.org
Безбородько,Аліна,Степанівна,Жіноча,11-10-1939,Музикант,місто Львів,"парк Аеродромний 1-й, буд. 38, Бобринець, 94834",022 663-36-90,demyd06@example.com
Андріїшин,Григорій,Валентинович,Чоловіча,22-12-1953,Патологоанатом,селище Ходорів,"набережна Осіння, буд. 2 кв. 34, Комарно, 33115",050 190 85 53,malyshkoonysym@example.org
Засенко,Ольга,Федорівна,Жіноча,24-10-1979,Дантист,місто Вашківці,"площа Олешківська, буд. 76, Кременчук, 82091",+380 23 014-49-47,shvedchenkostepan@example.net
Тесля,Павло,Романович,Чоловіча,01-12-1940,Складальник,місто Мерефа,"парк Окружна, буд. 796 кв. 8, Снятин, 35417",+380 93 711-72-85,zynoviikalenychenko@example.org
Михалюк,Герман,Лук’янович,Чоловіча,08-09-1962,Дизайнер,селище Броди,"проспект Чорноморський 2-й, буд. 48, Шахтарське, 94191",042 766-97-80,sofiiapelekh@example.net
Забіла,Павло,Омелянович,Чоловіча,24-11-2008,Палеонтолог,місто П'ятихатки,"сквер Пастера, буд. 0 кв. 5, Токмак, 37528",+380 88 745-60-81,kabanenkozakhar@example.com
Верховинець,Дан,Романович,Чоловіча,29-10-1986,Живописець,село Охтирка,"проспект Одеської громади, буд. 3 кв. 1, Лебедин, 05436",+380 (55) 838-96-39,ehabelko@example.com
Давиденко,Ігор,Матвійович,Чоловіча,27-02-1949,Географ,хутір Одеса,"шосе Ключовий 1-й, буд. 7, Косів, 16485",017 154-86-62,xbabko@example.org
Ільєнко,Устим,Євгенович,Чоловіча,11-03-1961,Дизайнер,селище Макіївка,"парк Виноградна 3-тя, буд. 415, Городок, 48302",+380 99 300-37-36,iustyna77@example.org
Вертипорох,Валентина,Андріївна,Жіноча,29-12-1972,Хореограф,місто Середина-Буда,"набережна Кортацці, буд. 228, Новомиргород, 65868",+380 20 358-20-61,avramchukdaryna@example.com
Даньків,Мілена,Павлівна,Жіноча,17-04-1989,Медик,хутір Сніжне,"провулок Пресича Олександра, буд. 06, Заліщики, 20743",066 916 38 20,hukavrelii@example.com
Чала,Богуслава,Станіславівна,Жіноча,05-08-1964,Астрофізик,хутір Новий Буг,"проспект Пілотна, буд. 73, Куп'янськ, 88358",+380 53 033 60 85,zakharenkoles@example.net
Зайченко,Андрій,Матвійович,Чоловіча,01-05-1971,Економіст,хутір Хмельницький,"вулиця 19-та Лінія, буд. 84 кв. 460, Стрий, 28186",983-01-74,amaliiaromanchuk@example.net
Вишивана,Оксана,Василівна,Жіноча,08-06-2004,Астрофізик,селище Антрацит,"площа 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 461 кв. 9, Вилкове, 71893",031 440-38-19,kostiantynkadeniuk@example.org
Шиян,Ілля,Єфремович,Чоловіча,22-01-1941,Кінолог,село Сімферополь,"парк Ізюмська, буд. 109, Березівка, 38136",010 568-59-57,kanivetsavrelii@example.net
Харченко,Едуард,Владиславович,Чоловіча,08-11-1951,Астрофізик,місто Іловайськ,"шосе Миколи Бажана, буд. 880 кв. 2, Білозерське, 43341",+380 82 220 56 14,artemlytvyn@example.net
Рудик,Азар,Михайлович,Чоловіча,29-09-1960,Стиліст,хутір Гребінка,"площа Сумський, буд. 3, Арциз, 75282",+380 70 034 93 26,markovermenych@example.org
Давиденко,Віра,Владиславівна,Жіноча,26-01-1975,Машиніст,хутір Рубіжне,"провулок Авангардна, буд. 58, Новий Розділ, 84492",070-09-65,liubov72@example.com
Тягнибок,Устим,Степанович,Чоловіча,18-12-1966,Режисер,селище Богуслав,"площа Горбатий міст, буд. 63 кв. 916, Кропивницький, 40317",024 445 93 14,iustyna63@example.org
Жученко,Петро,Аркадійович,Чоловіча,02-01-2004,Промисловець,село Збараж,"площа Солонцюватий 1-й, буд. 64, Оріхів, 07200",+380 03 418 60 19,vladyslav53@example.org
Безбородько,Софія,Рустамівна,Жіноча,14-01-1953,Редактор,хутір Теребовля,"сквер Старорізнична, буд. 45, Бібрка, 22343",068 428-21-96,artiukhparmen@example.com
Стус,Володимира,Павлівна,Жіноча,11-04-1972,Акушер,хутір Кипуче,"провулок Херсонський, буд. 289, Федорівка, 48984",019 913 26 92,mkozachenko@example.com
Данильчук,Тетяна,Іллівна,Жіноча,13-03-1994,Вчитель,село Нікополь,"вулиця Канатна, буд. 972 кв. 7, Алмазна, 97227",+380 48 384-10-12,vbevz@example.net
Редько,Лариса,Олексіївна,Жіноча,14-08-1952,Актор,селище Білогірськ,"сквер Василя Стуса, буд. 3, Шпола, 75604",+380 (69) 095-33-96,plutsenko@example.net
Абрамчук,Орхип,Андрійович,Чоловіча,22-11-1944,Кінорежисер,село Полтава,"провулок Садова 4-та, буд. 831 кв. 5, Вараш, 53101",094 807-21-16,ielysaveta10@example.org
Вишняк,Тарас,Володимирович,Чоловіча,09-08-1977,Модель,місто Мерефа,"парк Італійський, буд. 73 кв. 0, Пологи, 12765",079 323-70-80,feofan72@example.org
Хорішко,Мирослав,Романович,Чоловіча,02-05-1947,Мистецтвознавець,село Ясинувата,"шосе Улицька, буд. 4 кв. 816, Південне, 08828",+380 (51) 540-73-26,demydhupalo@example.org
Ємець,Лукʼян,Максимович,Чоловіча,13-08-1998,Промисловець,село Лебедин,"узвіз Люстдорфський, буд. 5 кв. 292, Ніжин, 67132",+380 91 865 64 19,nnosenko@example.com
Баклан,Єва,Федорівна,Жіноча,30-09-1964,Секретар,хутір Путивль,"шосе Рівності 2-й, буд. 49 кв. 9, Шептицький, 61309",+380 13 638 46 57,zynoviisuprunenko@example.com
Ейбоженко,Артем,Денисович,Чоловіча,16-05-1954,Доцент,хутір Білопілля,"узвіз Лодочний, буд. 386 кв. 5, Гуляйполе, 37518",+380 09 274-67-69,ggerus@example.org
Гайдай,Анжела,Аркадіївна,Жіноча,21-01-1983,Реставратор,селище Білицьке,"шосе Прирейкова, буд. 504, Немирів, 75413",+380 51 862-99-25,udrozdenko@example.org
Вівчаренко,Омелян,Костянтинович,Чоловіча,06-02-1984,Сантехнік,село Львів,"набережна Разумовська, буд. 8 кв. 28, Херсон, 46451",+380 (86) 207-28-15,oshamrai@example.org
Михайлюк,Олена,Денисівна,Жіноча,16-05-1970,Музикознавець,селище Заставна,"набережна Бучми, буд. 788, Острог, 36423",075 43 72,aaron85@example.org
Тимченко,Розалія,Михайлівна,Жіноча,15-05-1939,Редактор,село Оріхів,"провулок Нафтовиків 1-й, буд. 17 кв. 8, Іловайськ, 30187",+380 79 578-32-01,solomon48@example.org
Данчук,Єлисавета,Василівна,Жіноча,10-09-1949,Історик,селище Миронівка,"проспект Романтиків, буд. 7 кв. 0, Кременчук, 45264",+380 (49) 776-26-58,roksolanachernenko@example.org
Шутько,Віра,Артемівна,Жіноча,19-04-1991,Скульптор,місто Енергодар,"шосе Острозька, буд. 251, Гола Пристань, 69862",022 655-43-96,thaidamaka@example.com
Удовенко,Віталій,Матвійович,Чоловіча,04-02-1968,Доцент,селище Старий Самбір,"вулиця Окружна, буд. 471 кв. 322, Щастя, 07759",098 221 36 46,ustym59@example.com
Жайворон,Франц,Тарасович,Чоловіча,23-01-1995,Професор,село Рівне,"шосе Привокзальний, буд. 503, Сватове, 59142",070 490 64 32,lprokopovych@example.com
Дзюба,Марʼяна,Тимофіївна,Жіноча,14-05-2008,Дантист,хутір Вознесенівка,"шосе Коцюбинського, буд. 20, Мирноград, 63526",293 79 67,omelianhrechanyk@example.com
Фурс,Олекса,Максимович,Чоловіча,31-12-1997,Гінеколог,хутір Калинівка,"набережна Західний 1-й, буд. 44, Шостка, 37547",+380 63 639-44-17,zievdokymenko@example.org
Шило,Тарас,Ярославович,Чоловіча,18-03-1999,Льотчик,місто Сокиряни,"узвіз Митна, буд. 22 кв. 60, Шахтарське, 95782",+380 (47) 817-51-46,ielysei33@example.org
Єщенко,Ярема,Станіславович,Чоловіча,28-04-1959,Лікар,селище Марганець,"площа Шебелінський, буд. 295, Острог, 35378",067 15 20,myroslavdatsiuk@example.org
Вишивана,Ярема,Ігоревич,Чоловіча,18-02-1984,Провізор,село Косів,"шосе Солонцюватий 1-й, буд. 05 кв. 999, Зміїв, 50552",+380 (25) 977-23-01,onyshchenkokostiantyn@example.org
Тесленко,Вʼячеслав,Георгійович,Чоловіча,17-11-1955,Хімік,село Гнівань,"проспект Творча, буд. 946 кв. 51, Дубно, 16826",+380 80 985 54 95,dubenkovasylyna@example.com
Нестеренко,Веніямин,Федорович,Чоловіча,14-02-1976,Електротехнік,місто Привілля,"парк Шахтинський, буд. 8 кв. 71, Краматорськ, 53111",+380 (78) 958-76-38,feofanteslia@example.com
Чайка,Емілія,Матвіївна,Жіноча,22-03-1967,Бібліотекар,село Андрушівка,"провулок Флотський 4-й, буд. 0 кв. 866, Ясинувата, 27814",067 32 51,iaroslavashukhevych@example.net
Гречко,Лілія,Георгіївна,Жіноча,07-12-1968,Кушнір,село Зеленодольськ,"вулиця Бутишів, буд. 1, Золочів, 23815",+380 (13) 694-28-23,kovaliukiakiv@example.org
Масоха,Ярина,Захарівна,Жіноча,16-05-1960,Клоун,село Сколе,"шосе Івана Луценка, буд. 79 кв. 819, Жданівка, 46468",+380 75 929-01-75,xoberemko@example.org
Дубенко,Богуслава,Петрівна,Жіноча,03-03-1964,Стоматолог,село Кам'янка-Дніпровська,"проспект Валерія Лобановського, буд. 9 кв. 6, Новий Розділ, 39937",845 42 79,lzakusylo@example.org
Годунок,Наталія,Петрівна,Жіноча,25-11-1975,Паблік рилейшнз,село Глобине,"провулок Панаса Саксаганського, буд. 6, Гайворон, 55260",+380 80 572 63 64,danbezditko@example.com
Ніколюк,Павло,Артемович,Чоловіча,26-02-2006,Пекар,місто Сколе,"парк Немировича-Данченка, буд. 4, Херсон, 67433",+380 39 169-37-55,ieva96@example.com
Василевич,Олександр,Борисович,Чоловіча,29-12-1943,Інженер,місто Ірміно,"вулиця Головна, буд. 41, Гнівань, 66174",078 143-77-43,nlesyk@example.com
Валенко,Євген,Назарович,Чоловіча,19-12-1945,Конструктор,місто Кипуче,"шосе Польовий 1-й, буд. 4 кв. 351, Ізмаїл, 68144",+380 48 707-15-62,qzaiets@example.net
Лавренко,Тарас,Єгорович,Чоловіча,28-05-1945,Швачка,селище Татарбунари,"провулок Мариністів, буд. 3 кв. 210, Жмеринка, 89980",061 405 40 04,dmytro50@example.net
Ейбоженко,Станіслав,Романович,Чоловіча,11-07-1951,Дизайнер,село Керч,"площа Трибуни героїв, буд. 34 кв. 5, Кобеляки, 44772",086 05 46,trokhymkhrystenko@example.com
Базавлученко,Соломія,Лук’янівна,Жіноча,25-10-1959,Льотчик,село Баштанка,"узвіз Польська, буд. 291 кв. 13, Саки, 18266",053 970 15 44,oles02@example.org
Засядько,Едуард,Назарович,Чоловіча,15-09-1983,Письменник,селище Генічеськ,"сквер Луцька, буд. 784, Житомир, 70061",+380 00 921 33 55,haidaburaazar@example.org
Москаль,Ігнат,Олексійович,Чоловіча,03-02-1986,Кінокритик,село Луцьк,"узвіз Андрія Гулого-Гуленка, буд. 482 кв. 60, Городенка, 75801",+380 (80) 487-43-85,trokhym91@example.net
Каденюк,Марія,Маркелівна,Жіноча,12-08-2000,Штукатур,місто Волочиськ,"узвіз Житомирський 4-й, буд. 5, Корець, 45128",860-64-76,ielysaveta71@example.net
Самойленко,Микита,Борисович,Чоловіча,02-03-1969,Сантехнік,селище Миронівка,"набережна Матроський, буд. 590 кв. 487, Нова Каховка, 42260",+380 (37) 363-99-61,myroslavlaba@example.org
Гайворонська,Андрій,Денисович,Чоловіча,02-02-2008,Фотограф,селище Алушта,"провулок Пейзажна, буд. 5 кв. 5, Перещепине, 16236",+380 (48) 607-86-87,heorhiideineka@example.com
Лагода,Зорян,Тимофійович,Чоловіча,24-01-1962,Кінокритик,хутір Самбір,"площа 21-й км Старокиївської дороги, буд. 785, Южноукраїнськ, 28226",+380 45 703 22 17,vakhniibohdanna@example.org
Аронець,Ада,Омелянівна,Жіноча,05-09-1973,Драматург,селище Свалява,"сквер Митракова, буд. 0, Мелітополь, 45337",572 07 64,solomonderkach@example.org
Ярема,Леонід,Омелянович,Чоловіча,12-06-1991,Промисловець,село Батурин,"вулиця Мацієвської узвіз, буд. 3 кв. 422, Тернопіль, 25869",+380 22 662-13-37,uandriienko@example.com
Їжак,Камілла,Іванівна,Жіноча,21-10-1958,Бізнесмен,село Горлівка,"шосе Промислова, буд. 67 кв. 592, Кам'янець-Подільський, 63720",610-56-51,liliiaaleksiichuk@example.com
Товстоліс,Валентин,Григорович,Чоловіча,17-07-1952,Клоун,місто Корець,"узвіз Кропивницького, буд. 903 кв. 779, Богодухів, 52416",+380 83 672-35-67,vladyslavoberemko@example.org
Фастенко,Святослава,Веніамінівна,Жіноча,18-02-1958,Модельєр,селище Генічеськ,"набережна Шкіперська, буд. 3 кв. 35, Хмельницький, 84617",+380 (59) 701-77-67,nataliiatryhub@example.com
Скопенко,Руслан,Олексійович,Чоловіча,01-03-1979,Архітектор,місто Шахтарське,"проспект Лиманчик 2-й Лінія 8-ма, буд. 3, Христинівка, 48545",337-13-52,spushkar@example.org
Єрьоменко,Богдан,Омелянович,Чоловіча,17-09-1942,Філолог,місто Марганець,"набережна Кафедральна, буд. 1 кв. 0, Коростень, 11107",+380 83 602-51-15,zinchukvalentyn@example.org
Єременко,Ярослава,Веніамінівна,Жіноча,02-10-1964,Золотар,селище Корюківка,"вулиця Матроський узвіз, буд. 74 кв. 252, Білогірськ, 17136",046 347-35-85,eholoborodko@example.com
Андріїшин,Валентин,Маркелович,Чоловіча,25-07-2005,Публіцист,місто Нікополь,"набережна Лиманчик 2-й Лінія 11-та, буд. 9 кв. 0, Добропілля, 93827",+380 (89) 011-79-19,nataliiashvachka@example.com
Ткач,Єлисей,Арсенович,Чоловіча,06-11-1976,Реабілітолог,село Костянтинівка,"узвіз Обривиста, буд. 07 кв. 60, Верхньодніпровськ, 04619",+380 28 133-61-92,kyrylokolesnychenko@example.com
Ткаченко,Андрій,Матвійович,Чоловіча,08-04-1949,Прокурор,селище Теребовля,"сквер 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 276 кв. 3, Бібрка, 25698",+380 16 739-00-60,oksanaiurchuk@example.org
Михайлюк,Прохір,Андрійович,Чоловіча,22-03-1980,Електромонтер,селище Рубіжне,"проспект Світла, буд. 428, Герца, 75851",+380 81 894-40-97,mariiapetrenko@example.org
Петрик,Олена,Святославівна,Жіноча,15-06-1953,Диригент,селище Нова Одеса,"проспект Саймона Літмана, буд. 76, Підгородне, 66276",+380 (52) 243-57-70,nkabaliuk@example.net
Габелко,Болеслав,Денисович,Чоловіча,10-12-1984,Водій,місто Остер,"провулок Юннатів 3-й, буд. 997, Мена, 04097",+380 31 809-92-93,chalenkotymofii@example.com
Дуплій,Марко,Георгійович,Чоловіча,05-12-1990,Кінорежисер,селище Генічеськ,"площа Миколи Троїцького, буд. 126, Бережани, 02886",+380 76 026-38-78,azhazhaiakiv@example.org
Гузій,Гаврило,Романович,Чоловіча,22-10-1943,Бібліотекар,хутір Монастириська,"площа Кустанайська, буд. 96, Іллінці, 16773",322 84 88,baidakartem@example.org
Шутько,Леонтій,Станіславович,Чоловіча,06-05-1962,Детектив,село Хрустальний,"парк Пантелеймонівська, буд. 898 кв. 290, Полтава, 26332",021 015-15-33,panteleimondakhno@example.org
Дзиндра,Андрій,Іванович,Чоловіча,26-06-1945,Детектив,селище Судак,"вулиця 13-та ст. Великого Фонтану пляж, буд. 9 кв. 666, Перещепине, 41275",725 35 03,ddzhun@example.net
Савенко,Вʼячеслав,Леонідович,Чоловіча,04-07-2007,Пілот,хутір Ізяслав,"проспект Залізнична, буд. 49 кв. 22, Гірське, 22366",005-61-33,lupiimaksym@example.net
Бараник,Маруся,Олексіївна,Жіноча,14-10-1947,Реабілітолог,селище Тальне,"шосе Рішельєвська, буд. 944 кв. 25, Зеленодольськ, 92377",038 574 04 79,wholoborodko@example.org
Забарна,Альбіна,Олександрівна,Жіноча,09-03-1941,Ріелтор,село Дергачі,"набережна Леопольда Ященка, буд. 1, Судова Вишня, 94211",+380 89 306-80-28,andriichuklarysa@example.org
Їжак,Устим,Антонович,Чоловіча,02-01-2003,Дипломат,село Феодосія,"набережна Восьмого березня 3-й, буд. 1 кв. 48, Білозерське, 04237",+380 80 493-71-84,danylenkoiustyna@example.net
Андрощук,Зорян,Рустамович,Чоловіча,24-09-1962,Пілот,село Славутич,"вулиця Садиковська, буд. 8 кв. 683, Вишневе, 10024",415-31-80,oleksahutsuliak@example.com
Масляк,Ліза,Павлівна,Жіноча,24-02-1944,Футболіст,хутір Ананьїв,"проспект Львівська, буд. 16, Алушта, 19008",+380 18 359 41 64,mariia75@example.net
Жук,Віктор,Веніамінович,Чоловіча,27-10-1976,Фотограф,селище Кагарлик,"шосе Ігоря Бедзая, буд. 190, Радивилів, 84077",063 817 24 60,imalyk@example.org
Притула,Олена,Денисівна,Жіноча,16-04-1959,Мірошник,селище Соснівка,"провулок Селищна, буд. 4, Боково-Хрустальне, 53852",013 362-34-58,kabanenkovolodymyra@example.net
Забіла,Аніта,Василівна,Жіноча,30-01-2002,Програміст,село Звенигородка,"шосе Грушева, буд. 928 кв. 0, Зугрес, 73538",+380 96 872-01-42,vkolodub@example.com
Засуха,Стефан,Лук’янович,Чоловіча,24-01-1996,Менеджер,хутір Сміла,"вулиця Верф’яний, буд. 7, Зимогір'я, 38529",+380 20 324 31 02,viacheslaveibozhenko@example.com
Закусило,Левко,Леонідович,Чоловіча,22-09-1995,Мікробіолог,селище Старокостянтинів,"шосе Республіканська, буд. 078 кв. 0, Решетилівка, 61430",+380 68 950 90 00,ieva87@example.org
Верес,Остап,Андрійович,Чоловіча,14-09-1941,Фрілансер,місто Дніпрорудне,"парк Павла Зеленого, буд. 04, Вилкове, 61913",+380 (38) 489-80-88,inestaiko@example.net
Єресько,Ярослава,Захарівна,Жіноча,09-02-1996,Будник,хутір Євпаторія,"набережна Героїв прикордонників, буд. 4 кв. 6, Бурштин, 73927",+380 53 803-86-43,zatovkaniukvolodymyra@example.net
